,Unnamed: 0,Index,Original Method File,Original Method,Original Method Time,Original Method Result,Assertion,New Method File,New Method,New Method Time,New Method Result
0,0,891,./DafnyGym/ground_truth/cedar-spec/cedar-dafny/def/ext/ipaddr.dfy,CountDCComp,0.547736,Correct,"assert l + r == r;
",./DafnyGym/assertions_removed/CountDCComp_fix_891.dfy,CountDCComp,0.563452,Errors
1,1,443,./DafnyGym/ground_truth/cedar-spec/cedar-dafny/validation/thm/soundness.dfy,SoundEqAuxDiffUids,2.972371,Correct,"assert TC.inferEq(e1,e2,effs) == types.Ok(t');
",./DafnyGym/assertions_removed/SoundEqAuxDiffUids_fix_443.dfy,SoundEqAuxDiffUids,3.579112,Errors
2,2,104,./DafnyGym/ground_truth/cedar-spec/cedar-dafny/validation/thm/model.dfy,OrRShortSafe,2.527918,Correct,"assert Evaluator(r,s).interpretShortcircuit(Or(e,e'),e,e',true) == Evaluate(e,r,s);
",./DafnyGym/assertions_removed/OrRShortSafe_fix_104.dfy,OrRShortSafe,2.923418,Errors
3,3,854,./DafnyGym/ground_truth/cedar-spec/cedar-dafny/validation/thm/strict_soundness.dfy,StrictGetLubRecordType,1.022444,Correct,"assert ets.getLubRecordType(lub, ValidationMode.Permissive).Ok?;
",./DafnyGym/assertions_removed/StrictGetLubRecordType_fix_854.dfy,StrictGetLubRecordType,1.041067,Errors
4,4,94,./DafnyGym/ground_truth/cedar-spec/cedar-dafny/validation/thm/model.dfy,OrRRetSafe,2.526335,Correct,"assert Evaluator(r,s).interpretShortcircuit(Or(e,e'),e,e',true) == Evaluate(e,r,s);
",./DafnyGym/assertions_removed/OrRRetSafe_fix_94.dfy,OrRRetSafe,2.807638,Errors
5,5,109,./DafnyGym/ground_truth/cedar-spec/cedar-dafny/validation/thm/model.dfy,OrRShortSafe,2.527918,Correct,"assert Evaluator(r,s).interpretShortcircuit(Or(e,e'),e,e',true) == Evaluate(e',r,s);
",./DafnyGym/assertions_removed/OrRShortSafe_fix_109.dfy,OrRShortSafe,2.6312,Errors
6,6,82,./DafnyGym/ground_truth/cedar-spec/cedar-dafny/validation/thm/model.dfy,AndRShortSafe,2.483498,Correct,"assert Evaluator(r,s).interpretShortcircuit(And(e,e'),e,e',false) == base.Ok(Value.Primitive(Primitive.Bool(false)));
",./DafnyGym/assertions_removed/AndRShortSafe_fix_82.dfy,AndRShortSafe,3.089938,Errors
7,7,788,./DafnyGym/ground_truth/cedar-spec/cedar-dafny/validation/thm/soundness.dfy,SoundArith,7.420007,Correct,"assert TC.inferArith2(op,e1,e2,effs) == types.Ok(Type.Int);
",./DafnyGym/assertions_removed/SoundArith_fix_788.dfy,SoundArith,7.147276,Errors
8,8,816,./DafnyGym/ground_truth/cedar-spec/cedar-dafny/validation/thm/soundness.dfy,SoundInSetMemberFalse,8.751712,Correct,"assert !ets.possibleDescendantOf(et1,u2.ty);
",./DafnyGym/assertions_removed/SoundInSetMemberFalse_fix_816.dfy,SoundInSetMemberFalse,9.943644,Errors
9,9,797,./DafnyGym/ground_truth/cedar-spec/cedar-dafny/validation/thm/soundness.dfy,SoundIneq,7.555545,Correct,"assert TC.ensureIntType(e1,effs).Ok?;
",./DafnyGym/assertions_removed/SoundIneq_fix_797.dfy,SoundIneq,8.084037,Errors
